Game_id,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,User_ID,Critic_Count,Developer,Rating_Score,Rating_Count
2373,Rock Band 3,X360,2010,Misc,MTV Games,0.73,0.09,0,0.06,0.88,93,57,Harmonix Music Systems,8.2,137
2374,WWE SmackDown vs. Raw 2011,X360,2010,Fighting,THQ,0.44,0.35,0,0.08,0.88,75,49,Yuke's,7.6,45
2375,ESPN NHL 2K5,PS2,2004,Sports,Global Star,0.43,0.33,0,0.11,0.88,86,25,Kush Games,8.1,18
2376,Borderlands: The Handsome Collection,PS4,2015,Shooter,Take-Two Interactive,0.38,0.33,0.03,0.14,0.88,82,49,Gearbox Software,7.8,345
2377,Crimson Skies: High Road to Revenge,XB,2003,Simulation,Microsoft Game Studios,0.65,0.19,0,0.03,0.87,88,49,FASA Studio,8.8,45
2378,Madden NFL 08,Wii,2007,Sports,Electronic Arts,0.8,0,0,0.07,0.87,76,29,EA Tiburon,6.8,27
2379,Spec Ops: Ranger Elite,PS,2001,Shooter,TalonSoft,0.49,0.33,0,0.06,0.87,48,4,Runecraft,6.6,16
2380,Gex,PS,1995,Platform,Crystal Dynamics,0.49,0.33,0,0.06,0.87,50,,,5.4,
2381,F1 2009,Wii,2009,Racing,Codemasters,0.15,0.62,0,0.11,0.87,69,29,Sumo Digital,7.2,30
2382,Derby Stallion II,SNES,1994,Sports,ASCII Entertainment,0,0,0.87,0,0.87,50,,,5.4,
2383,Tom Clancy's Ghost Recon: Island Thunder,XB,2003,Shooter,Ubisoft,0.61,0.24,0,0.03,0.87,81,33,Red Storm Entertainment,8.8,17
2384,Sleeping Dogs,X360,2012,Action,Square Enix ,0.38,0.4,0.01,0.08,0.87,80,47,United Front Games,7.9,468
2385,Kingdoms of Amalur: Reckoning,X360,2012,Role-Playing,Electronic Arts,0.55,0.24,0.01,0.07,0.87,80,71,Big Huge Games,7.7,446
2386,Metal Gear Ac!d,PSP,2004,Strategy,Konami Digital Entertainment,0.32,0.26,0.12,0.17,0.87,50,,,5.4,
2387,Need for Speed: V-Rally,PS,1997,Racing,Infogrames,0.43,0.29,0.09,0.06,0.87,50,,,5.4,
2388,Monster Strike 3DS,3DS,2015,Action,"mixi, Inc",0,0,0.87,0,0.87,50,,,5.4,
2389,Kingdom Hearts Re: Chain of Memories,PS2,2008,Role-Playing,Square Enix,0.73,0.03,0,0.12,0.87,68,20,Jupiter Corporation,7.2,105
2390,Phantasy Star Portable 2,PSP,2009,Role-Playing,Sega,0.08,0.11,0.62,0.06,0.87,69,27,Alfa System,8.1,35
2391,Peppa Pig: The Game,DS,2008,Misc,Pinnacle,0,0.81,0,0.06,0.87,50,,,5.4,
2392,Michael Jackson: The Experience,X360,2011,Misc,Ubisoft,0.62,0.18,0,0.07,0.87,63,31,Ubisoft Montreal,6.8,29
2393,NFL GameDay '97,PS,1996,Sports,Sony Computer Entertainment,0.48,0.33,0,0.06,0.87,50,,,5.4,
2394,LittleBigPlanet Karting,PS3,2012,Action,Sony Computer Entertainment,0.42,0.3,0.01,0.15,0.87,73,69,"Media Molecule, United Front Games",6.9,159
2395,Tony Hawk's Project 8,PS2,2006,Sports,Activision,0.72,0.03,0,0.12,0.87,69,17,Shaba Games,7.3,19
2396,NHL 2000,PS,1998,Sports,Electronic Arts,0.48,0.33,0,0.06,0.87,50,,,5.4,
2397,GRID,X360,2008,Racing,Codemasters,0.33,0.44,0.01,0.09,0.87,87,62,Codemasters,7.9,131
2398,DiRT,X360,2007,Racing,Codemasters,0.38,0.4,0,0.09,0.87,83,59,Codemasters,7.4,94
2399,Buzz! Master Quiz,PSP,2008,Misc,Sony Computer Entertainment,0.2,0.44,0,0.23,0.87,50,,,5.4,
2400,Red Faction: Guerrilla,X360,2009,Shooter,THQ,0.48,0.29,0.01,0.09,0.87,85,84,Volition Inc.,8.1,237
2401,Fight Night Round 2,PS2,2005,Fighting,Electronic Arts,0.72,0.03,0,0.12,0.87,88,37,EA Sports,9,37
2402,Conflict: Desert Storm,XB,2002,Shooter,SCi,0.48,0.37,0,0.02,0.87,65,14,SCi,8.1,17
2403,LEGO Jurassic World,X360,2015,Action,Warner Bros. Interactive Entertainment,0.47,0.32,0,0.08,0.87,50,,TT Games,7.1,14
2404,Triple Play 2002,PS2,2002,Sports,Electronic Arts,0.43,0.33,0,0.11,0.87,65,17,Pandemic Studios,2.6,
2405,Cooking Mama: World Kitchen,Wii,2008,Simulation,505 Games,0.51,0.27,0.01,0.08,0.87,62,17,Cooking Mama Limited,4.9,12
2406,Brothers in Arms: Hell's Highway,X360,2008,Shooter,Ubisoft,0.47,0.3,0,0.09,0.87,76,65,Gearbox Software,8.3,149
2407,Vagrant Story,PS,2000,Role-Playing,Crave Entertainment,0.3,0.2,0.3,0.06,0.87,92,19,SquareSoft,8.3,129
2408,Warriors Orochi,PS2,2007,Action,Tecmo Koei,0.11,0.09,0.64,0.03,0.87,55,14,Omega Force,8.2,16
2409,Enduro,2600,1982,Misc,Quelle,0.81,0.05,0,0.01,0.87,50,,,5.4,
2410,Crysis 3,PS3,2013,Shooter,Electronic Arts,0.26,0.42,0.03,0.16,0.87,77,23,Crytek,6.3,288
2411,Mercenaries 2: World in Flames,PS3,2008,Shooter,Electronic Arts,0.29,0.39,0.02,0.16,0.87,72,43,Pandemic Studios,7.1,73
2412,SingStar '90s,PS2,2007,Misc,Sony Computer Entertainment,0.1,0.59,0,0.18,0.87,73,29,SCEE,2.7,
2413,Wizards of Waverly Place,DS,2009,Misc,Disney Interactive Studios,0.59,0.2,0,0.08,0.86,58,7,Disney Interactive Studios,2.8,
2414,Ghostbusters: The Video Game,Wii,2009,Action,Atari,0.59,0.2,0,0.07,0.86,76,29,Red Fly Studio,8.5,28
2415,Dragon Quest VIII: Journey of the Cursed King,3DS,2015,Role-Playing,Square Enix,0,0,0.86,0,0.86,50,,Cygames,5.4,
2416,Beijing 2008,PS3,2008,Sports,Sega,0.14,0.54,0.01,0.18,0.86,50,,,5.4,
2417,Guitar Hero Live,PS4,2015,Misc,Activision,0.34,0.38,0,0.14,0.86,80,69,FreeStyleGames,6.2,160
2418,Endless Ocean: Blue World,Wii,2009,Simulation,Nintendo,0.46,0.21,0.12,0.06,0.86,76,42,Arika,8.5,26
2419,Winning Eleven: Pro Evolution Soccer 2007,PSP,2006,Sports,Konami Digital Entertainment,0.01,0.72,0.12,0.01,0.86,81,10,KCET,8.3,14
2420,Rocky,PS2,2002,Fighting,Rage Software,0.42,0.33,0,0.11,0.86,74,14,Rage Software,8.4,11
2421,Ford Racing,PS,2001,Racing,Empire Interactive,0.48,0.33,0,0.06,0.86,53,4,Toolbox Design,5.8,4
2422,Madden Football 64,N64,1997,Sports,Electronic Arts,0.81,0.04,0,0.01,0.86,50,,,5.4,
2423,Guitar Hero: Warriors of Rock,X360,2010,Misc,Activision,0.47,0.31,0,0.08,0.86,72,65,Neversoft Entertainment,6.5,51
2424,MLB 99,PS,1998,Sports,Sony Computer Entertainment,0.48,0.32,0,0.06,0.86,50,,,5.4,
2425,Lemmings,PSP,2006,Puzzle,Sony Computer Entertainment,0.12,0.51,0,0.23,0.86,76,46,Team 17,7.9,14
2426,Dynasty Warriors 4: Xtreme Legends,PS2,2003,Action,Tecmo Koei,0.17,0.13,0.51,0.04,0.86,72,15,Omega Force,9.1,39
2427,Pictionary,Wii,2010,Puzzle,THQ,0.6,0.19,0,0.07,0.85,71,7,Page 44 Studios,2.9,
2428,Army Men: Air Attack,PS,1999,Action,3DO,0.47,0.32,0,0.06,0.85,50,,,5.4,
2429,FIFA Soccer 08,DS,2007,Sports,Electronic Arts,0.1,0.65,0,0.11,0.85,50,,,5.4,
2430,2010 FIFA World Cup South Africa,X360,2010,Sports,Electronic Arts,0.32,0.42,0.02,0.09,0.85,83,61,Electronic Arts,8.1,58
2431,Tomb Raider: Anniversary,Wii,2007,Action,Eidos Interactive,0.12,0.62,0,0.11,0.85,73,22,Crystal Dynamics,7.3,25
2432,NBA 2K8,X360,2007,Sports,Take-Two Interactive,0.79,0,0,0.07,0.85,81,33,Visual Concepts,7,28
2433,Street Fighter Alpha 2,PS,1996,Fighting,Virgin Interactive,0.14,0.09,0.57,0.06,0.85,50,,,5.4,
2434,Tiger Woods PGA Tour 2005,XB,2004,Sports,Electronic Arts,0.64,0.18,0,0.03,0.85,88,26,EA Sports,8.9,14
2435,Castlevania III: Dracula's Curse,NES,1989,Platform,Konami Digital Entertainment,0.4,0.07,0.37,0.01,0.85,50,,,5.4,
2436,LEGO Jurassic World,PS3,2015,Action,Warner Bros. Interactive Entertainment,0.35,0.36,0,0.14,0.85,50,,TT Games,7.4,14
2437,Kingdoms of Amalur: Reckoning,PS3,2012,Role-Playing,Electronic Arts,0.37,0.29,0.09,0.11,0.85,81,34,Big Huge Games,7.6,376
2438,Rampage World Tour,PS,1997,Action,GT Interactive,0.47,0.32,0,0.06,0.85,50,,,5.4,
2439,Dragon Ball Z: Burst Limit,PS3,2008,Fighting,Atari,0.22,0.33,0.18,0.12,0.85,71,32,"Dimps Corporation, Namco Bandai Games",7.2,51
2440,Gold's Gym: Dance Workout,Wii,2010,Sports,Ubisoft,0.69,0.1,0,0.06,0.85,50,,Land Ho!,3,
2441,Tekken Tag Tournament 2,PS3,2012,Fighting,Namco Bandai Games,0.28,0.31,0.13,0.13,0.85,82,50,Namco Bandai Games,8.2,193
2442,Ninja Gaiden Sigma 2,PS3,2009,Action,Ubisoft Annecy,0.52,0.16,0.08,0.1,0.85,83,52,Team Ninja,7.7,115
2443,Ratatouille,PS2,2007,Action,THQ,0.31,0,0,0.53,0.85,65,9,Asobo Studio,8,11
2444,NFL GameDay,PS,1995,Sports,Sony Computer Entertainment,0.47,0.32,0,0.06,0.85,50,,,5.4,
2445,Burnout 2: Point of Impact,PS2,2002,Racing,Acclaim Entertainment,0.42,0.32,0,0.11,0.85,86,31,Criterion Games,8.2,48
2446,Wii Fit U,WiiU,2013,Sports,Nintendo,0.35,0.23,0.21,0.05,0.85,72,19,Nintendo,7.7,72
2447,Street Fighter EX3,PS2,2000,Fighting,Virgin Interactive,0.32,0.25,0.2,0.08,0.85,64,17,Arika,7.9,31
2448,The Legendary Starfy,DS,2008,Platform,Nintendo,0.6,0,0.2,0.05,0.85,75,25,TOSE,8.4,26
2449,NCAA Football 11,PS3,2010,Sports,Electronic Arts,0.79,0,0,0.06,0.85,85,22,EA Tiburon,7.4,25
2450,The House of the Dead: Overkill,Wii,2009,Shooter,Sega,0.44,0.3,0.02,0.09,0.85,78,65,Headstrong Games,8.7,95
2451,Army of Two: The 40th Day,PS3,2010,Shooter,Electronic Arts,0.44,0.27,0.01,0.12,0.85,74,56,EA Montreal,7,88
2452,Darksiders II,PS3,2012,Action,THQ,0.35,0.35,0.01,0.14,0.84,84,39,Vigil Games,7.1,422
2453,Spider-Man 2,GC,2004,Action,Activision,0.65,0.17,0,0.02,0.84,80,41,Treyarch,8.8,30
2454,The Lord of the Rings: War in the North,X360,2016,Action,Warner Bros. Interactive Entertainment,0.52,0.24,0,0.08,0.84,61,48,Snowblind Studios,7.4,113
2455, Tales of Xillia 2,PS3,2012,Role-Playing,Namco Bandai Games,0.2,0.12,0.45,0.07,0.84,71,59,Bandai Namco Games,7.9,216
2456,Ghostbusters: The Video Game,PS3,2009,Action,Sony Computer Entertainment,0.34,0.36,0,0.14,0.84,78,74,Terminal Reality,7.9,96
2457,The Incredibles,GC,2004,Action,THQ,0.65,0.17,0,0.02,0.84,63,27,Heavy Iron Studios,7.1,7
2458,Xenoblade Chronicles X,WiiU,2015,Role-Playing,Nintendo,0.36,0.28,0.14,0.06,0.84,84,87,Monolith Soft,8.9,1548
2459,NBA 2K10,PS3,2009,Sports,Take-Two Interactive,0.75,0.01,0.01,0.07,0.84,83,30,Visual Concepts,7.8,39
2460,Petz Dogz Fashion,DS,2008,Simulation,Ubisoft,0.46,0.3,0,0.09,0.84,50,,Ubisoft,3.1,
2461,ATV Quad Power Racing 2,PS2,2003,Racing,Acclaim Entertainment,0.41,0.32,0,0.11,0.84,68,19,Acclaim,3.2,
2462,Final Fantasy,NES,1987,Role-Playing,SquareSoft,0.32,0,0.52,0,0.84,50,,,5.4,
2463,Skate 2,PS3,2009,Sports,Electronic Arts,0.46,0.25,0.01,0.12,0.84,84,50,EA Black Box,7.8,53
2464,Rocket Power: Team Rocket Rescue,PS,2001,Sports,THQ,0.47,0.32,0,0.05,0.84,50,,,5.4,
2465,Big Mutha Truckers,PS2,2002,Racing,Empire Interactive,0.41,0.32,0,0.11,0.84,62,15,Eutechnyx,5.3,20
2466,The Evil Within,PS3,2014,Action,Bethesda Softworks,0.26,0.34,0.13,0.12,0.84,50,,Tango Gameworks,7.6,193
2467,Rogue Galaxy,PS2,2005,Role-Playing,Sony Computer Entertainment,0.24,0.16,0.39,0.05,0.84,83,59,Level 5,8.4,89
2468,ESPN College Hoops 2K5,PS2,2004,Sports,Sega,0.41,0.32,0,0.11,0.84,86,14,Visual Concepts,8.1,10
2469,NCAA Football 14,PS3,2013,Sports,Electronic Arts,0.75,0,0,0.09,0.84,77,9,EA Tiburon,6.2,40
2470,Harry Potter and the Order of the Phoenix,DS,2007,Action,Electronic Arts,0.28,0.46,0,0.1,0.84,51,15,Visual Impact,4.9,19
2471,Sniper Elite V2,X360,2012,Shooter,505 Games,0.46,0.28,0.02,0.07,0.84,67,37,Rebellion,6.8,131
2472,Metroid: Zero Mission,GBA,2004,Adventure,Nintendo,0.6,0.22,0,0.01,0.84,89,50,Nintendo,9,132
2473,Ben 10: Protector of Earth,PS2,2007,Action,D3Publisher,0.09,0,0,0.74,0.84,50,,High Voltage Software,7.6,14
2474,Burnout Legends,PSP,2005,Racing,Electronic Arts,0.7,0.05,0,0.08,0.84,86,53,Criterion Games,8.4,108
2475,Q*bert,PS,1999,Puzzle,Atari,0.46,0.32,0,0.05,0.84,50,,,5.4,
2476,Blazing Angels: Squadrons of WWII,Wii,2007,Simulation,Ubisoft,0.74,0.04,0,0.06,0.83,57,11,Ubisoft,6.7,28
2477,Madden NFL 09 All-Play,Wii,2008,Sports,Electronic Arts,0.76,0.01,0,0.06,0.83,82,19,EA Tiburon,7.2,22
2478,Ace Combat 3: Electrosphere,PS,1999,Simulation,Sony Computer Entertainment,0.22,0.15,0.4,0.05,0.83,50,,,5.4,
2479,Dynasty Warriors 2,PS2,2000,Action,THQ,0.24,0.19,0.34,0.06,0.83,75,17,Omega Force,8.8,24
2480,Madden NFL 07,PSP,2016,Sports,Unknown,0.77,0.03,0,0.04,0.83,78,18,EA Tiburon,6.6,16
2481,Time Crisis 4,PS3,2007,Shooter,Namco Bandai Games,0.32,0.32,0.05,0.14,0.83,60,52,Nex Entertainment,7.4,21
2482,Duke Nukem Forever,X360,2011,Shooter,Take-Two Interactive,0.52,0.25,0,0.07,0.83,49,76,"Gearbox Software, 3D Realms",4.4,456
2483,Lizzie McGuire 2: Lizzie Diaries,GBA,2004,Action,Disney Interactive Studios,0.6,0.22,0,0.01,0.83,57,6,Artificial Mind and Movement,5,5
2484,FIFA Soccer World Championship,PS2,2000,Sports,Electronic Arts,0.27,0.21,0.28,0.07,0.83,50,,,5.4,
2485,NCAA Football 12,PS3,2011,Sports,Electronic Arts,0.78,0,0,0.05,0.83,82,17,EA Sports,5.8,41
2486,Brute Force,XB,2003,Shooter,Microsoft Game Studios,0.62,0.18,0.01,0.03,0.83,77,45,Digital Anvil,7.8,49
2487,Tiger Woods PGA Tour 11,PS3,2010,Sports,Electronic Arts,0.37,0.33,0,0.13,0.83,78,40,EA Sports,6.7,17
2488,Yu-Gi-Oh! Dark Duel Stories,GB,2000,Misc,Konami Digital Entertainment,0,0,0.83,0,0.83,50,,,5.4,
2489,WWE SmackDown vs. Raw 2009,Wii,2008,Fighting,THQ,0.44,0.31,0,0.08,0.83,79,18,Yuke's,8.5,18
2490,The Game of Life,PS,1998,Misc,Unknown,0.46,0.31,0,0.05,0.83,50,,,5.4,
2491,Mega Man Legends,PS,1997,Adventure,Capcom,0.39,0.26,0.12,0.05,0.83,50,,,5.4,
2492,Sly 3: Honor Among Thieves,PS2,2005,Platform,Sony Computer Entertainment,0.69,0.03,0,0.11,0.83,83,59,Sucker Punch,8.8,130
2493,MLB SlugFest 20-03,PS2,2016,Sports,Unknown,0.41,0.32,0,0.11,0.83,77,25,Midway,8.2,6
2494,Need for Speed: Nitro,Wii,2009,Racing,Electronic Arts,0.45,0.3,0,0.08,0.83,69,41,EA Montreal,7.4,38
2495,Street Fighter X Tekken,PS3,2012,Fighting,Capcom,0.42,0.21,0.1,0.09,0.83,84,51,Capcom,5.3,191
2496,MediEvil,PS,1998,Platform,Sony Computer Entertainment,0.46,0.31,0,0.05,0.83,50,,,5.4,
2497,Casper,PS,1996,Adventure,Interplay,0.46,0.31,0,0.05,0.83,50,,,5.4,
2498,Sid Meier's Civilization Revolution,X360,2008,Strategy,Take-Two Interactive,0.58,0.17,0,0.07,0.83,84,55,Firaxis Games,7.8,171
2499,Tales of the Abyss,3DS,2011,Role-Playing,Namco Bandai Games,0.43,0.19,0.14,0.06,0.83,75,33,Bandai Namco Games,7.6,197
2500,Dragon Age II,PS3,2011,Action,Electronic Arts,0.4,0.26,0.05,0.11,0.83,82,52,BioWare,4.3,1197
2501,Call of Duty: Modern Warfare 3,Wii,2011,Shooter,Activision,0.55,0.2,0,0.08,0.82,70,16,"Treyarch, Sledgehammer Games",1.8,442
2502,God of War Saga,PS3,2012,Action,Sony Computer Entertainment,0.73,0,0,0.1,0.82,50,,"Ready at Dawn, SCE Santa Monica",8.3,52
2503,Scooby-Doo! First Frights,DS,2009,Action,Warner Bros. Interactive Entertainment,0.6,0.16,0,0.07,0.82,50,,,5.4,
2504,James Bond 007: Nightfire,XB,2002,Shooter,Electronic Arts,0.58,0.22,0,0.03,0.82,78,30,Eurocom Entertainment Software,7.8,25
2505,Tony Hawk's Pro Skater 3,GC,2001,Sports,Activision,0.64,0.17,0,0.02,0.82,91,27,Neversoft Entertainment,9,27
2506,Marvel: Ultimate Alliance,PS2,2006,Role-Playing,Activision,0.69,0.03,0,0.11,0.82,81,29,Raven Software,8.2,33
2507,DJ Hero 2,X360,2010,Misc,Activision,0.64,0.12,0,0.06,0.82,86,66,FreeStyleGames,7.9,23
2508,Harvest Moon: Tree of Tranquility,Wii,2007,Simulation,Rising Star Games,0.67,0.03,0.06,0.05,0.82,65,18,Marvelous Entertainment,8.2,28
2509,Tony Hawk's Underground 2 Remix,PSP,2005,Sports,Activision,0.46,0.21,0,0.15,0.82,83,49,Shaba Games,8,34
2510,Need for Speed: Hot Pursuit 2,XB,2002,Racing,Electronic Arts,0.68,0.11,0,0.03,0.82,75,18,EA Seattle,6.4,15
2511,Killer Instinct Gold,N64,1996,Fighting,Nintendo,0.61,0.19,0,0.01,0.82,50,,,5.4,
2512,Clu Clu Land,NES,1984,Puzzle,Nintendo,0.42,0.1,0.28,0.02,0.82,50,,,5.4,
2513,Karaoke Revolution Glee,Wii,2010,Misc,Konami Digital Entertainment,0.51,0.24,0,0.07,0.82,50,,Konami,3.3,
2514,I Spy: Fun House,DS,2007,Puzzle,Scholastic Inc.,0.76,0,0,0.06,0.82,53,6,Big Blue Bubble Inc.,3.4,
2515,Amped: Freestyle Snowboarding,XB,2001,Sports,Microsoft Game Studios,0.69,0.11,0,0.02,0.82,78,30,Indie Built,9,20
2516,The Price is Right,Wii,2008,Misc,Ubisoft,0.76,0,0,0.06,0.82,50,,Ludia Inc.,4.3,9
2517,Custer's Revenge,2600,1981,Action,Mystique,0.76,0.05,0,0.01,0.82,50,,,5.4,
2518,Stranglehold,X360,2007,Shooter,Midway Games,0.4,0.33,0.01,0.09,0.82,77,59,Midway,7.6,91
2519,Rocket Power: Beach Bandits,PS2,2002,Platform,THQ,0.4,0.31,0,0.1,0.82,50,,Evolution Games,6.6,13
2520,Shin Megami Tensei: Persona 4,PS2,2008,Role-Playing,Atlus,0.34,0.04,0.36,0.08,0.82,90,47,Atlus Co.,8.9,634
2521,Devil May Cry HD Collection,PS3,2012,Action,Capcom,0.42,0.19,0.11,0.09,0.82,74,27,"Capcom, Pipeworks Software, Inc.",8.8,158
2522,Thief (2014),PS4,2014,Action,Square Enix,0.28,0.38,0.03,0.13,0.82,50,,,5.4,
2523,The Lord of the Rings: War in the North,PS3,2016,Action,Warner Bros. Interactive Entertainment,0.25,0.42,0.01,0.13,0.82,63,33,Snowblind Studios,7,100
2524,Dragon Warrior III,GB,2000,Role-Playing,Enix Corporation,0,0,0.81,0,0.81,50,,,5.4,
2525,Ready 2 Rumble Boxing: Round 2,PS2,2000,Fighting,Midway Games,0.4,0.31,0,0.1,0.81,75,20,Midway,3.5,
2526,Dance Central 3,X360,2012,Misc,Microsoft Game Studios,0.57,0.18,0,0.06,0.81,86,43,Harmonix Music Systems,8,45
2527,Kamaitachi no Yoru,SNES,1994,Adventure,ChunSoft,0,0,0.81,0,0.81,50,,,5.4,
2528,Imagine: Rock Star,DS,2008,Simulation,Ubisoft,0.4,0.33,0,0.09,0.81,50,,Gevo Entertainment,3.6,
2529,Tales of Destiny II,PS,2000,Role-Playing,Namco Bandai Games,0.06,0.04,0.66,0.05,0.81,78,9,Namco,8.7,31
2530,Super Bomberman 2,SNES,1994,Puzzle,Hudson Soft,0,0,0.81,0,0.81,50,,,5.4,
2531,NASCAR 2001,PS,2000,Racing,Electronic Arts,0.45,0.31,0,0.05,0.81,73,8,Black Box,6.1,9
2532,Twisted Metal (2012),PS3,2012,Action,Sony Computer Entertainment,0.67,0.07,0,0.08,0.81,50,,,5.4,
2533,The Legend of Zelda: Four Swords Adventures,GC,2004,Action,Nintendo,0.63,0.16,0,0.02,0.81,86,55,Nintendo,7.2,74
2534,Jikkyou Powerful Pro Yakyuu '99 Kaimakuban,PS,1999,Sports,Konami Digital Entertainment,0,0,0.76,0.05,0.81,50,,,5.4,
2535,MediEvil: Resurrection,PSP,2005,Adventure,Sony Computer Entertainment,0.19,0.41,0,0.22,0.81,66,43,SCEE,8.7,52
2536,Valkyrie Profile,PS,1999,Role-Playing,Enix Corporation,0.07,0.05,0.63,0.05,0.81,81,8,Tri-Ace,8.8,37
2537,Shaun White Snowboarding,X360,2016,Sports,Ubisoft,0.48,0.25,0,0.08,0.81,60,48,Ubisoft Montreal,7.6,25
2538,Patapon,PSP,2007,Misc,Sony Computer Entertainment,0.33,0.25,0.07,0.16,0.81,86,60,SCE Japan Studio,8.7,102
2539,Final Fantasy Type-0,PSP,2011,Role-Playing,Unknown,0,0,0.81,0,0.81,50,,Square Enix,5.4,
2540,Mega Man,NES,1987,Platform,Capcom,0.45,0.08,0.27,0.01,0.81,50,,,5.4,
2541,Army Men: Sarge's Heroes,N64,1999,Action,3DO,0.68,0.12,0,0.01,0.81,50,,,5.4,
2542,Pro Evolution Soccer 2010,X360,2009,Sports,Konami Digital Entertainment,0.12,0.58,0.03,0.08,0.81,78,34,Konami,7.6,29
2543,Tom Clancy's Rainbow Six 3,PS2,2004,Shooter,Ubisoft,0.4,0.31,0,0.1,0.81,70,34,Ubisoft Shanghai,8.2,17
2544,Madden NFL 25,XOne,2013,Sports,Electronic Arts,0.67,0.05,0,0.08,0.81,73,18,EA Sports,5.9,111
2545,NCAA Football 10,PS3,2009,Sports,Electronic Arts,0.75,0,0,0.06,0.81,80,20,EA Tiburon,6.9,14
2546,EarthBound,SNES,1994,Role-Playing,Nintendo,0,0,0.81,0,0.81,50,,,5.4,
2547,The Next Tetris,PS,1998,Puzzle,Atari,0.45,0.31,0,0.05,0.81,50,,,5.4,
2548,Guitar Hero: Warriors of Rock,PS3,2010,Misc,Activision,0.33,0.34,0,0.13,0.81,74,46,Neversoft Entertainment,7.1,30
2549,Battle of Giants: Dinosaurs,DS,2008,Strategy,Ubisoft,0.37,0.35,0,0.09,0.81,50,,Ubisoft Quebec,7.2,9
2550,World Soccer Jikkyou Winning Eleven 3: World Cup France '98,PS,1998,Sports,Konami Digital Entertainment,0,0,0.75,0.05,0.81,50,,,5.4,
2551,Final Fantasy XI: Wings of the Goddess,PS2,2007,Role-Playing,Square Enix,0.35,0.27,0.09,0.09,0.81,50,,Square Enix,3.7,
2552,The Sims 2,PS2,2005,Simulation,Electronic Arts,0.67,0.03,0,0.11,0.81,75,31,Maxis,4.4,166
2553,Dragon Ball: Raging Blast 2,PS3,2010,Fighting,Namco Bandai Games,0.42,0.18,0.11,0.09,0.81,60,27,Spike,7.5,63
2554,SingStar Vol. 2,PS3,2008,Misc,Sony Computer Entertainment,0.29,0.39,0,0.12,0.81,76,36,SCEE London Studio,3.8,
2555,Who wants to be a millionaire,PS,2000,Misc,Eidos Interactive,0.45,0.3,0,0.05,0.8,50,,,5.4,
2556,Yakuza,PS2,2005,Action,Sega,0.03,0.02,0.74,0.01,0.8,75,58,Amusement Vision,8.2,73
2557,Disney's The Little Mermaid: Ariel's Undersea Adventure,DS,2006,Action,Disney Interactive Studios,0.72,0.03,0,0.06,0.8,50,,Gorilla Systems,7,4
2558,Star Wars Rogue Squadron III: Rebel Strike,GC,2003,Simulation,LucasArts,0.62,0.16,0,0.02,0.8,75,36,Factor 5,7.6,50
2559,Moto Racer,PS,1997,Racing,Electronic Arts,0.45,0.3,0,0.05,0.8,50,,,5.4,
2560,Hitman: Contracts,PS2,2004,Shooter,Eidos Interactive,0.39,0.31,0,0.1,0.8,80,39,Io Interactive,8.3,43
2561,Professor Layton vs Phoenix Wright: Ace Attorney,3DS,2012,Puzzle,Level 5,0.2,0.26,0.3,0.04,0.8,79,69,Level 5,8.5,99
2562,Ben 10: Alien Force,Wii,2008,Action,Koch Media,0.52,0.21,0,0.07,0.8,45,6,Monkey Bar Games,7.8,11
2563,Final Fantasy Anthology,PS,1999,Role-Playing,Square EA,0.45,0.3,0,0.05,0.8,80,14,SquareSoft,8.1,28
2564,DiRT 2,X360,2009,Racing,Codemasters,0.32,0.39,0,0.09,0.8,87,65,Codemasters,8.2,110
2565,Prince of Persia: Warrior Within,XB,2004,Action,Ubisoft,0.48,0.28,0,0.04,0.8,83,55,Ubisoft Montreal,7.5,35
2566,Deca Sports 2,Wii,2009,Sports,Hudson Soft,0.31,0.33,0.09,0.07,0.8,49,7,CAProduction,3.9,
2567,Killzone: Mercenary,PSV,2013,Shooter,Sony Computer Entertainment Europe,0.2,0.39,0.04,0.17,0.8,78,86,Guerilla Cambridge,8.9,513
2568,Pro Evolution Soccer 2010,PSP,2009,Sports,Konami Digital Entertainment,0.09,0.33,0.2,0.18,0.8,72,9,Konami,4.6,5
2569,Guitar Hero: Metallica,X360,2009,Misc,Activision,0.52,0.2,0,0.07,0.8,84,62,Neversoft Entertainment,8.1,79
2570,Final Fantasy X / X-2 HD Remaster,PSV,2013,Role-Playing,Square Enix,0.16,0.24,0.28,0.12,0.8,86,14,Virtuos,8.5,223
2571,Super Robot Taisen α,PS,2000,Strategy,Banpresto,0,0,0.75,0.05,0.8,50,,,5.4,
2572,Need for Speed: Hot Pursuit 2,GC,2002,Racing,Electronic Arts,0.68,0.09,0,0.02,0.8,68,16,EA Seattle,8.3,15
2573,PES 2009: Pro Evolution Soccer,PSP,2016,Sports,Konami Digital Entertainment,0.04,0.33,0.26,0.17,0.8,50,,,5.4,
2574,Hasbro Family Game Night 3,Wii,2010,Misc,Electronic Arts,0.46,0.27,0,0.07,0.8,50,,Electronic Arts,4,
2575,Tales of Destiny 2,PS2,2002,Role-Playing,Namco Bandai Games,0,0,0.8,0,0.8,50,,,5.4,
2576,Capcom's Soccer Shootout,SNES,1993,Sports,Nintendo,0,0,0.8,0,0.8,50,,,5.4,
